variant,quarter,session,train_time,train_dur,val_pnl,val_wr,val_trades,val_max_dd,avg_box_width,pass
dyn_sl_tp_baseline,Q3 2021,London,02:39,3,58.7,32.7,104,-37.8,0.76,True
dyn_sl_tp_baseline,Q3 2021,NY,08:41,10,-54.9,24.1,83,-80.8,3.2,False
dyn_sl_tp_baseline,Q4 2021,London,04:05,5,4.4,28.6,112,-53.0,1.2,True
dyn_sl_tp_baseline,Q4 2021,NY,08:22,3,-67.4,23.6,110,-143.0,1.13,False
dyn_sl_tp_baseline,Q1 2022,Asia,22:01,10,-2.2,25.0,8,-13.5,1.56,False
dyn_sl_tp_baseline,Q1 2022,London,04:38,3,23.5,29.5,112,-71.7,1.24,True
dyn_sl_tp_baseline,Q1 2022,NY,11:18,7,-37.2,25.4,71,-66.2,2.86,False
dyn_sl_tp_baseline,Q2 2022,Asia,20:35,10,-87.3,0.0,26,-87.3,1.32,False
dyn_sl_tp_baseline,Q2 2022,London,03:39,5,1.7,28.9,121,-62.1,1.55,True
dyn_sl_tp_baseline,Q2 2022,NY,08:31,10,21.3,29.3,99,-62.6,4.58,True
dyn_sl_tp_baseline,Q3 2022,Asia,19:12,5,-49.7,8.7,23,-52.4,0.47,False
dyn_sl_tp_baseline,Q3 2022,London,03:45,3,68.1,33.0,115,-41.7,0.97,True
dyn_sl_tp_baseline,Q3 2022,NY,08:47,3,63.0,35.0,80,-30.9,1.76,True
dyn_sl_tp_baseline,Q4 2022,Asia,22:30,7,-16.0,0.0,5,-16.0,1.1,False
dyn_sl_tp_baseline,Q4 2022,London,03:42,3,-16.0,26.4,106,-78.7,0.94,False
dyn_sl_tp_baseline,Q4 2022,NY,08:44,10,30.1,31.5,89,-70.4,2.52,True
dyn_sl_tp_baseline,Q1 2023,Asia,21:20,5,-24.4,0.0,7,-20.5,1.13,False
dyn_sl_tp_baseline,Q1 2023,London,01:29,7,-11.4,26.9,130,-79.4,1.28,False
dyn_sl_tp_baseline,Q1 2023,NY,08:21,3,-133.0,19.5,113,-142.0,1.16,False
dyn_sl_tp_baseline,Q2 2023,Asia,22:21,7,-23.1,0.0,7,-23.1,0.94,False
dyn_sl_tp_baseline,Q2 2023,London,04:28,3,82.5,34.3,105,-26.3,0.94,True
dyn_sl_tp_baseline,Q2 2023,NY,10:07,3,-8.1,28.1,64,-37.6,2.47,False
dyn_sl_tp_baseline,Q3 2023,Asia,20:23,10,-47.4,0.0,15,-47.4,0.77,False
dyn_sl_tp_baseline,Q3 2023,London,04:35,7,-66.4,22.5,102,-103.7,0.9,False
dyn_sl_tp_baseline,Q3 2023,NY,08:40,3,-53.0,23.1,78,-95.4,1.76,False
dyn_sl_tp_baseline,Q4 2023,Asia,19:18,10,-46.7,15.2,33,-51.9,0.96,False
dyn_sl_tp_baseline,Q4 2023,London,01:06,3,-1.5,27.9,111,-43.2,0.5,False
dyn_sl_tp_baseline,Q4 2023,NY,08:15,5,-141.0,18.9,111,-145.7,1.42,False
dyn_sl_tp_baseline,Q1 2024,Asia,19:07,5,-84.4,0.0,26,-84.4,0.69,False
dyn_sl_tp_baseline,Q1 2024,London,04:20,3,46.3,31.4,102,-64.3,0.91,True
dyn_sl_tp_baseline,Q1 2024,NY,10:03,3,13.9,30.5,82,-39.4,1.84,True
dyn_sl_tp_baseline,Q2 2024,Asia,21:17,5,-53.3,13.3,30,-53.3,2.07,False
dyn_sl_tp_baseline,Q2 2024,London,01:26,3,12.0,29.7,118,-55.7,0.89,True
dyn_sl_tp_baseline,Q2 2024,NY,08:37,10,40.1,32.5,123,-76.8,5.0,True
dyn_sl_tp_baseline,Q3 2024,Asia,22:30,5,-25.9,9.1,11,-27.3,1.92,False
dyn_sl_tp_baseline,Q3 2024,London,02:03,3,115.8,36.4,121,-54.0,1.47,True
dyn_sl_tp_baseline,Q3 2024,NY,08:15,3,-77.4,26.9,119,-122.4,1.59,False
dyn_sl_tp_baseline,Q4 2024,Asia,22:08,3,-59.9,12.9,31,-74.5,1.52,False
dyn_sl_tp_baseline,Q4 2024,London,02:47,7,28.8,30.0,130,-57.9,1.98,True
dyn_sl_tp_baseline,Q4 2024,NY,08:43,7,-4.0,29.5,122,-59.0,2.66,False
dyn_sl_tp_baseline,Q1 2025,Asia,19:06,7,6.3,28.8,59,-37.5,1.28,True
dyn_sl_tp_baseline,Q1 2025,London,02:45,10,1.5,29.3,133,-62.6,2.64,True
dyn_sl_tp_baseline,Q1 2025,NY,09:07,7,-33.3,30.6,121,-79.0,3.07,False
dyn_sl_tp_baseline,Q2 2025,Asia,19:32,7,31.4,33.0,97,-62.4,3.5,True
dyn_sl_tp_baseline,Q2 2025,London,03:58,7,-96.7,27.8,126,-145.0,4.61,False
dyn_sl_tp_baseline,Q2 2025,NY,10:11,10,25.6,31.9,116,-104.4,8.28,True
dyn_sl_tp_baseline,Q3 2025,Asia,20:00,5,-87.0,21.2,85,-89.6,3.14,False
dyn_sl_tp_baseline,Q3 2025,London,01:00,10,-9.6,28.5,137,-80.2,2.59,False
dyn_sl_tp_baseline,Q3 2025,NY,10:03,5,84.2,36.4,107,-61.7,4.76,True
dyn_sl_tp_baseline,Q4 2025,Asia,20:59,3,-87.0,27.6,87,-149.3,6.34,False
dyn_sl_tp_baseline,Q4 2025,London,03:25,3,-10.9,33.1,127,-91.1,3.33,False
dyn_sl_tp_baseline,Q4 2025,NY,08:38,3,167.9,40.7,123,-47.3,3.76,True
dyn_sl_tp_baseline,Q1 2026,Asia,20:34,10,-171.8,30.4,92,-187.4,11.57,False
dyn_sl_tp_baseline,Q1 2026,London,02:42,7,-88.8,30.9,136,-279.1,10.71,False
dyn_sl_tp_baseline,Q1 2026,NY,09:46,10,46.4,36.4,118,-257.3,15.96,True
pin_bar_only,Q3 2021,Asia,19:52,5,-48.2,0.0,15,-48.2,0.48,False
pin_bar_only,Q3 2021,London,02:33,10,37.4,32.0,75,-34.1,1.46,True
pin_bar_only,Q3 2021,NY,08:34,3,-73.7,17.6,51,-80.0,2.38,False
pin_bar_only,Q4 2021,Asia,20:18,3,-24.1,0.0,7,-24.1,0.5,False
pin_bar_only,Q4 2021,London,04:35,5,-1.3,28.2,78,-38.1,1.21,False
pin_bar_only,Q4 2021,NY,08:23,5,-44.0,22.7,66,-75.3,1.52,False
pin_bar_only,Q1 2022,Asia,20:15,3,-8.2,20.0,10,-13.4,0.75,False
pin_bar_only,Q1 2022,London,01:19,7,4.5,28.1,89,-43.6,0.91,True
pin_bar_only,Q1 2022,NY,08:35,3,1.9,29.7,64,-50.5,1.47,True
pin_bar_only,Q2 2022,Asia,20:43,7,-47.5,0.0,14,-47.5,1.18,False
pin_bar_only,Q2 2022,London,03:58,10,-34.7,25.9,81,-48.3,2.25,False
pin_bar_only,Q2 2022,NY,10:37,3,-88.5,14.0,50,-87.1,1.71,False
pin_bar_only,Q3 2022,Asia,19:11,7,-36.3,6.7,15,-36.3,0.56,False
pin_bar_only,Q3 2022,London,02:52,7,23.8,31.0,71,-33.5,1.2,True
pin_bar_only,Q3 2022,NY,08:47,3,61.7,38.8,49,-28.5,1.76,True
pin_bar_only,Q4 2022,Asia,19:29,3,-11.0,20.0,15,-17.0,0.47,False
pin_bar_only,Q4 2022,London,02:43,5,-54.4,22.5,80,-82.8,1.01,False
pin_bar_only,Q4 2022,NY,08:51,3,-21.7,26.2,65,-45.6,1.29,False
pin_bar_only,Q1 2023,Asia,21:11,5,-16.4,0.0,5,-16.4,1.24,False
pin_bar_only,Q1 2023,London,04:02,10,36.0,31.3,83,-53.2,2.84,True
pin_bar_only,Q1 2023,NY,09:01,3,-79.5,20.0,70,-110.4,1.59,False
pin_bar_only,Q2 2023,Asia,21:42,3,-16.6,0.0,5,-16.6,0.89,False
pin_bar_only,Q2 2023,London,02:56,3,-53.6,23.2,82,-81.4,0.82,False
pin_bar_only,Q2 2023,NY,09:48,5,26.1,35.3,34,-37.3,3.05,True
pin_bar_only,Q3 2023,Asia,20:23,3,-19.4,0.0,6,-19.4,0.39,False
pin_bar_only,Q3 2023,London,04:36,5,-89.2,17.1,70,-130.4,0.75,False
pin_bar_only,Q3 2023,NY,08:14,7,-34.0,23.1,52,-63.0,2.08,False
pin_bar_only,Q4 2023,Asia,20:01,3,-46.6,0.0,14,-46.6,0.78,False
pin_bar_only,Q4 2023,London,01:51,10,17.0,29.2,89,-45.9,1.32,True
pin_bar_only,Q4 2023,NY,10:01,10,-20.7,24.5,49,-38.7,3.1,False
pin_bar_only,Q1 2024,Asia,19:10,3,-58.3,0.0,18,-58.3,0.62,False
pin_bar_only,Q1 2024,London,04:23,3,-28.1,24.3,74,-65.6,0.89,False
pin_bar_only,Q1 2024,NY,09:16,5,1.0,29.4,51,-27.5,1.9,True
pin_bar_only,Q2 2024,Asia,21:12,5,-66.1,4.8,21,-62.7,2.08,False
pin_bar_only,Q2 2024,London,01:35,3,97.8,38.4,86,-38.1,1.65,True
pin_bar_only,Q2 2024,NY,08:48,5,-62.7,25.6,86,-81.4,2.93,False
pin_bar_only,Q3 2024,Asia,22:31,3,-28.2,0.0,8,-28.2,1.49,False
pin_bar_only,Q3 2024,London,01:32,5,-22.3,27.6,116,-85.5,1.84,False
pin_bar_only,Q3 2024,NY,09:32,3,-16.7,28.4,74,-53.8,3.04,False
pin_bar_only,Q4 2024,Asia,20:05,5,39.2,37.5,32,-10.4,1.26,True
pin_bar_only,Q4 2024,London,02:46,10,92.6,34.9,109,-45.9,2.38,True
pin_bar_only,Q4 2024,NY,08:39,10,-10.2,29.8,84,-58.0,3.29,False
pin_bar_only,Q1 2025,Asia,20:10,3,22.1,34.6,26,-28.6,1.0,True
pin_bar_only,Q1 2025,London,03:32,5,-10.3,28.8,104,-38.8,1.85,False
pin_bar_only,Q1 2025,NY,09:23,10,-28.1,28.4,67,-66.0,5.47,False
pin_bar_only,Q2 2025,Asia,19:29,10,61.0,38.6,57,-40.0,3.97,True
pin_bar_only,Q2 2025,London,04:29,7,8.9,31.5,111,-55.9,3.87,True
pin_bar_only,Q2 2025,NY,10:18,3,6.7,33.0,94,-86.8,4.22,True
pin_bar_only,Q3 2025,Asia,20:01,10,-88.5,11.1,36,-90.8,3.97,False
pin_bar_only,Q3 2025,London,04:19,5,104.6,36.5,96,-36.6,2.68,True
pin_bar_only,Q3 2025,NY,09:43,10,33.7,35.6,73,-66.9,6.48,True
pin_bar_only,Q4 2025,Asia,19:19,3,-26.4,30.8,65,-60.1,2.74,False
pin_bar_only,Q4 2025,London,04:28,3,-47.9,28.3,120,-79.8,3.43,False
pin_bar_only,Q4 2025,NY,08:43,5,70.4,40.8,76,-31.7,4.73,True
pin_bar_only,Q1 2026,Asia,20:45,3,-119.6,27.6,58,-139.0,6.16,False
pin_bar_only,Q1 2026,London,01:13,10,-23.3,32.7,101,-176.9,9.44,False
pin_bar_only,Q1 2026,NY,09:45,10,119.0,34.9,86,-108.4,16.27,True
engulfing_only,Q3 2021,London,03:02,7,-65.9,22.5,80,-55.1,1.66,False
engulfing_only,Q3 2021,NY,08:36,7,-46.5,19.4,36,-46.5,2.95,False
engulfing_only,Q4 2021,Asia,20:53,7,-18.2,0.0,5,-18.2,0.92,False
engulfing_only,Q4 2021,London,03:48,3,67.0,36.9,65,-32.9,0.82,True
engulfing_only,Q4 2021,NY,08:22,5,-1.6,28.9,45,-36.1,1.44,False
engulfing_only,Q1 2022,Asia,19:53,7,-13.9,18.2,11,-12.7,0.84,False
engulfing_only,Q1 2022,London,04:29,10,-17.0,26.4,72,-45.9,2.43,False
engulfing_only,Q1 2022,NY,08:50,5,-83.0,20.7,58,-137.5,1.98,False
engulfing_only,Q2 2022,Asia,20:36,3,-46.1,0.0,13,-46.1,0.66,False
engulfing_only,Q2 2022,London,02:12,10,68.2,37.0,73,-22.8,1.74,True
engulfing_only,Q2 2022,NY,10:37,3,-55.0,20.4,49,-57.0,1.71,False
engulfing_only,Q3 2022,Asia,19:12,3,-37.1,6.7,15,-37.1,0.36,False
engulfing_only,Q3 2022,London,02:57,3,14.4,31.0,58,-41.7,0.74,True
engulfing_only,Q3 2022,NY,08:16,3,-37.2,23.9,46,-47.4,1.41,False
engulfing_only,Q4 2022,Asia,19:08,10,-47.6,5.6,18,-47.6,0.95,False
engulfing_only,Q4 2022,London,04:53,3,-123.7,15.7,70,-120.0,0.89,False
engulfing_only,Q4 2022,NY,08:41,3,25.8,31.4,51,-32.1,1.22,True
engulfing_only,Q1 2023,Asia,21:20,5,-8.3,16.7,6,-17.3,1.13,False
engulfing_only,Q1 2023,London,01:00,3,-52.5,23.8,84,-80.4,0.69,False
engulfing_only,Q1 2023,NY,08:39,5,-28.3,27.3,66,-53.4,1.82,False
engulfing_only,Q2 2023,London,04:34,7,84.7,37.1,70,-21.2,1.42,True
engulfing_only,Q2 2023,NY,09:55,3,-25.5,24.2,33,-52.5,2.01,False
engulfing_only,Q3 2023,Asia,19:30,7,-14.3,12.5,8,-14.3,0.46,False
engulfing_only,Q3 2023,London,04:51,3,12.4,29.5,61,-32.8,0.6,True
engulfing_only,Q3 2023,NY,08:00,3,-71.1,19.6,51,-98.1,0.94,False
engulfing_only,Q4 2023,Asia,19:45,3,-28.1,8.3,12,-28.1,0.64,False
engulfing_only,Q4 2023,London,01:44,5,-57.1,23.0,74,-69.1,0.84,False
engulfing_only,Q4 2023,NY,09:49,7,-14.7,27.5,40,-41.1,2.71,False
engulfing_only,Q1 2024,Asia,19:22,3,-45.9,0.0,14,-45.9,0.51,False
engulfing_only,Q1 2024,London,01:18,3,0.4,28.4,74,-42.8,0.52,True
engulfing_only,Q1 2024,NY,08:56,3,-33.9,23.9,46,-49.0,0.97,False
engulfing_only,Q2 2024,Asia,21:12,5,-79.1,0.0,19,-75.5,2.08,False
engulfing_only,Q2 2024,London,01:18,7,101.3,40.8,76,-35.2,1.38,True
engulfing_only,Q2 2024,NY,08:40,7,-0.3,32.1,78,-38.7,4.19,False
engulfing_only,Q3 2024,London,01:29,7,-52.9,25.8,97,-76.5,2.17,False
engulfing_only,Q3 2024,NY,09:32,3,16.7,34.5,55,-39.6,3.04,True
engulfing_only,Q4 2024,Asia,19:36,3,18.2,34.8,23,-19.1,0.78,True
engulfing_only,Q4 2024,London,02:42,10,130.1,40.9,93,-26.1,2.59,True
engulfing_only,Q4 2024,NY,09:44,7,-34.3,27.1,48,-65.1,3.92,False
engulfing_only,Q1 2025,Asia,19:04,10,12.3,32.3,31,-43.6,1.5,True
engulfing_only,Q1 2025,London,02:43,3,8.7,31.5,89,-42.6,1.43,True
engulfing_only,Q1 2025,NY,09:24,3,2.1,32.8,67,-44.8,2.33,True
engulfing_only,Q2 2025,Asia,19:30,3,-14.4,31.7,41,-64.7,2.08,False
engulfing_only,Q2 2025,London,03:02,10,-13.5,31.3,99,-106.7,6.36,False
engulfing_only,Q2 2025,NY,10:10,10,-38.1,29.4,68,-70.5,8.05,False
engulfing_only,Q3 2025,Asia,20:43,3,-19.7,27.3,33,-54.3,1.53,False
engulfing_only,Q3 2025,London,01:45,7,27.1,34.0,103,-50.3,2.55,True
engulfing_only,Q3 2025,NY,11:51,3,12.9,31.3,67,-62.8,1.73,True
engulfing_only,Q4 2025,Asia,21:16,3,-10.7,31.2,32,-52.4,4.63,False
engulfing_only,Q4 2025,London,04:12,10,-97.9,30.9,110,-170.8,7.29,False
engulfing_only,Q4 2025,NY,10:51,10,-81.9,25.4,71,-145.1,11.54,False
engulfing_only,Q1 2026,Asia,20:10,7,-8.1,40.0,40,-50.0,10.52,False
engulfing_only,Q1 2026,London,03:58,7,69.3,35.6,104,-105.1,10.2,True
engulfing_only,Q1 2026,NY,09:53,10,34.4,40.0,70,-160.2,17.62,True
any_pattern,Q3 2021,Asia,20:10,7,-57.1,4.8,21,-57.1,0.79,False
any_pattern,Q3 2021,London,02:26,3,-83.9,21.6,102,-112.5,0.82,False
any_pattern,Q3 2021,NY,08:35,7,-93.1,18.5,65,-88.4,3.14,False
any_pattern,Q4 2021,Asia,21:20,7,-19.9,0.0,6,-19.9,1.0,False
any_pattern,Q4 2021,London,02:43,3,11.0,29.0,107,-36.4,0.76,True
any_pattern,Q4 2021,NY,08:22,3,-14.4,27.6,87,-80.2,1.13,False
any_pattern,Q1 2022,Asia,21:39,3,-19.0,11.1,9,-19.0,0.82,False
any_pattern,Q1 2022,London,04:40,3,-3.9,28.6,98,-50.4,1.25,False
any_pattern,Q1 2022,NY,08:21,3,-5.4,29.5,88,-68.5,1.59,False
any_pattern,Q2 2022,Asia,20:44,3,-61.2,0.0,18,-61.2,0.73,False
any_pattern,Q2 2022,London,04:12,10,2.3,28.7,101,-51.7,2.25,True
any_pattern,Q2 2022,NY,10:37,3,-81.8,19.1,68,-76.8,1.71,False
any_pattern,Q3 2022,Asia,19:20,10,-20.7,20.0,25,-25.6,0.74,False
any_pattern,Q3 2022,London,02:32,3,30.0,30.2,96,-50.0,0.82,True
any_pattern,Q3 2022,NY,08:14,5,-81.1,22.0,82,-86.4,1.79,False
any_pattern,Q4 2022,Asia,21:49,3,-22.9,0.0,7,-19.7,0.74,False
any_pattern,Q4 2022,London,04:12,3,-8.9,27.6,105,-48.6,1.12,False
any_pattern,Q4 2022,NY,08:41,3,-4.5,27.6,76,-55.4,1.22,False
any_pattern,Q1 2023,Asia,21:11,7,-36.1,0.0,11,-32.5,1.44,False
any_pattern,Q1 2023,London,04:27,7,44.2,31.7,104,-37.3,1.92,True
any_pattern,Q1 2023,NY,08:39,10,-19.9,27.4,95,-56.5,2.54,False
any_pattern,Q2 2023,Asia,21:42,3,-30.0,0.0,9,-30.0,0.89,False
any_pattern,Q2 2023,London,04:28,3,74.6,34.0,100,-37.6,0.94,True
any_pattern,Q2 2023,NY,09:55,3,-2.2,29.4,51,-64.2,2.01,False
any_pattern,Q3 2023,Asia,20:25,5,-31.6,0.0,10,-31.6,0.53,False
any_pattern,Q3 2023,London,04:37,3,-91.4,19.3,88,-149.5,0.61,False
any_pattern,Q3 2023,NY,08:47,7,-48.4,22.0,59,-70.9,2.29,False
any_pattern,Q4 2023,Asia,20:32,10,-15.5,16.7,12,-20.0,1.43,False
any_pattern,Q4 2023,London,01:51,10,14.5,29.8,94,-33.1,1.32,True
any_pattern,Q4 2023,NY,08:51,3,-44.4,26.0,96,-56.9,1.07,False
any_pattern,Q1 2024,Asia,19:11,7,-71.8,0.0,22,-68.5,0.86,False
any_pattern,Q1 2024,London,04:37,3,-12.7,26.9,93,-86.6,0.84,False
any_pattern,Q1 2024,NY,09:19,3,-19.9,27.0,74,-46.5,1.7,False
any_pattern,Q2 2024,Asia,21:10,10,-91.8,3.6,28,-91.8,3.21,False
any_pattern,Q2 2024,London,02:37,3,139.8,41.1,95,-32.4,1.42,True
any_pattern,Q2 2024,NY,08:04,10,-14.3,30.7,114,-67.6,2.94,False
any_pattern,Q3 2024,Asia,22:31,3,-48.3,0.0,14,-44.5,1.49,False
any_pattern,Q3 2024,London,02:03,3,140.5,38.5,117,-27.6,1.47,True
any_pattern,Q3 2024,NY,09:32,3,-1.9,30.9,94,-64.0,3.04,False
any_pattern,Q4 2024,Asia,22:08,3,-43.1,13.6,22,-52.1,1.52,False
any_pattern,Q4 2024,London,02:00,5,73.8,34.2,111,-77.0,2.04,True
any_pattern,Q4 2024,NY,08:39,10,-0.9,30.8,107,-56.4,3.29,False
any_pattern,Q1 2025,Asia,20:05,10,-23.4,23.1,39,-50.4,2.09,False
any_pattern,Q1 2025,London,02:33,10,-18.0,28.3,120,-48.6,2.39,False
any_pattern,Q1 2025,NY,09:23,10,-46.1,29.0,100,-96.8,5.47,False
any_pattern,Q2 2025,Asia,19:36,3,-2.1,30.9,81,-70.4,2.11,False
any_pattern,Q2 2025,London,04:27,5,92.6,36.6,112,-74.6,3.49,True
any_pattern,Q2 2025,NY,10:10,10,-8.8,31.1,103,-78.2,8.05,False
any_pattern,Q3 2025,Asia,20:00,5,-88.1,20.3,74,-92.6,3.14,False
any_pattern,Q3 2025,London,04:26,7,19.3,31.7,123,-93.3,2.78,True
any_pattern,Q3 2025,NY,09:59,10,107.5,38.8,80,-48.2,7.21,True
any_pattern,Q4 2025,Asia,21:16,3,-18.8,30.0,70,-57.1,4.63,False
any_pattern,Q4 2025,London,04:21,10,-3.1,28.5,130,-112.2,6.35,False
any_pattern,Q4 2025,NY,08:43,5,82.5,39.8,98,-32.8,4.73,True
any_pattern,Q1 2026,Asia,20:12,7,-39.0,32.4,71,-150.9,11.54,False
any_pattern,Q1 2026,London,01:59,10,47.6,36.3,124,-256.6,13.46,True
any_pattern,Q1 2026,NY,08:30,10,7.0,36.7,109,-197.7,11.85,True
