quarter,session,best_bh,best_bm,best_dur,train_pnl,val_pnl,val_trades,val_winrate,q_year,q_num,q_idx,pnl_4q_mean,pnl_4q_std,pnl_cumulative,pnl_zscore,regime_alarm
2021Q1,Asia,19,1,7,14.7,0.0,0,0.0,2021,1,1,,,0.0,-0.5882376151394195,False
2021Q2,Asia,21,22,10,12.6,0.8,27,70.4,2021,2,2,0.4,0.5656854249492381,0.8,-0.492100721960352,False
2021Q3,Asia,21,17,10,8.4,3.5,17,82.4,2021,3,3,1.4333333333333333,1.8339392937971892,4.3,-0.167638707480999,False
2021Q4,Asia,20,55,10,10.2,8.8,23,78.3,2021,4,4,3.2750000000000004,3.9760742783135563,13.100000000000001,0.46926820983032363,False
2022Q1,Asia,21,0,10,18.4,4.6,34,73.5,2022,1,5,4.425000000000001,3.325031328173215,17.700000000000003,-0.03545047935978115,False
2022Q2,Asia,21,32,10,10.6,4.5,27,74.1,2022,2,6,5.35,2.3530122538284117,22.200000000000003,-0.04746759100716455,False
2022Q3,Asia,21,2,10,15.3,-4.0,27,66.7,2022,3,7,3.475,5.371142026298195,18.200000000000003,-1.0689220810347573,False
2022Q4,Asia,20,58,7,13.2,9.3,30,80.0,2022,4,8,3.6,5.539554735415715,27.500000000000004,0.5293537680672409,False
2023Q1,Asia,21,14,10,19.2,1.6,19,73.7,2023,1,9,2.85,5.562073953721461,29.100000000000005,-0.3959638287812844,False
2023Q2,Asia,21,30,5,9.5,-3.2,15,60.0,2023,2,10,0.9250000000000002,6.10648562322607,25.900000000000006,-0.9727851878556897,False
2023Q3,Asia,22,4,10,6.1,6.6,22,81.8,2023,3,11,3.575,5.529541873729987,32.50000000000001,0.20489175358788772,False
2023Q4,Asia,21,0,10,15.5,8.9,31,74.2,2023,4,12,3.475,5.393437370236784,41.400000000000006,0.48128532147770703,False
2024Q1,Asia,20,59,10,13.7,20.8,37,78.4,2024,1,13,8.275,9.861499209890283,62.2,1.9113216075163368,False
2024Q2,Asia,20,58,10,26.3,12.1,42,76.2,2024,2,14,12.100000000000001,6.223075338340895,74.3,0.8658328941939771,False
2024Q3,Asia,21,8,10,29.0,11.6,35,77.1,2024,3,15,13.350000000000001,5.1617180602327855,85.89999999999999,0.8057473359570599,False
2024Q4,Asia,21,0,10,25.8,8.7,41,70.7,2024,4,16,13.299999999999999,5.219833969262494,94.6,0.45725109818294,False
2025Q1,Asia,20,34,7,20.7,-18.1,53,64.2,2025,1,17,3.5749999999999993,14.527531334217342,76.5,-2.763334823315823,True
2025Q2,Asia,20,0,10,53.6,8.8,53,66.0,2025,2,18,2.7499999999999996,13.964836793413186,85.3,0.46926820983032363,False
2025Q3,Asia,21,34,10,26.3,15.0,30,66.7,2025,3,19,3.5999999999999996,14.763694207977442,100.3,1.214329131968097,False
2025Q4,Asia,21,17,10,61.7,-2.4,34,61.8,2025,4,20,0.8249999999999998,14.526842969711854,97.89999999999999,-0.8766482946766222,False
2021Q1,London,1,0,10,119.4,16.1,75,29.3,2021,1,1,,,16.1,0.5548846809527745,False
2021Q2,London,2,26,3,87.5,20.5,69,30.4,2021,2,2,18.3,3.1112698372208083,36.6,0.6677338880797542,False
2021Q3,London,2,43,3,127.4,-38.9,74,24.3,2021,3,3,-0.7666666666666657,33.09763334943049,-2.299999999999997,-0.8557304081344729,False
2021Q4,London,4,18,5,31.6,-11.3,66,27.3,2021,4,4,-3.3999999999999995,27.53252621900141,-13.599999999999998,-0.14785810888341785,False
2022Q1,London,3,58,10,99.4,-2.5,68,27.9,2022,1,5,-8.05,24.55056007507772,-16.099999999999998,0.07784030537054172,False
2022Q2,London,4,55,3,95.6,-7.2,69,27.5,2022,2,6,-14.975,16.350203872327306,-23.299999999999997,-0.042703165878732144,False
2022Q3,London,4,8,5,150.9,-1.1,71,26.8,2022,3,7,-5.525,4.650716790632039,-24.4,0.11374687127458073,False
2022Q4,London,2,10,3,55.0,-31.4,88,25.0,2022,4,8,-10.55,14.142724867106296,-55.8,-0.6633738050771208,False
2023Q1,London,4,47,3,124.6,74.3,63,38.1,2023,1,9,8.649999999999999,45.68081289410978,18.5,2.047571920677825,True
2023Q2,London,4,37,3,123.2,-61.1,65,20.0,2023,2,10,-4.825000000000001,58.159973349374916,-42.6,-1.4251059531842345,False
2023Q3,London,3,44,3,70.7,-22.6,68,25.0,2023,3,11,-10.200000000000003,58.692021036366896,-65.2,-0.4376753908231614,False
2023Q4,London,4,0,3,75.2,6.7,74,28.4,2023,4,12,-0.6750000000000023,57.17670708718135,-58.5,0.3137977384542267,False
2024Q1,London,4,23,10,89.6,-76.9,81,22.2,2024,1,13,-38.475,37.77639253996251,-135.4,-1.8303371969583895,False
2024Q2,London,2,40,7,96.9,-10.9,78,28.2,2024,2,14,-25.925000000000004,36.053883285992946,-146.3,-0.13759909005369242,False
2024Q3,London,4,29,3,123.5,-25.3,75,26.7,2024,3,15,-26.6,35.996110901040424,-171.60000000000002,-0.5069237679238081,False
2024Q4,London,2,30,10,155.2,-4.4,89,29.2,2024,4,16,-29.375000000000004,32.86491290114734,-176.00000000000003,0.029109965929345893,False
2025Q1,London,4,29,10,150.3,-13.5,82,31.7,2025,1,17,-13.525,8.733222009468648,-189.50000000000003,-0.20428271244690774,False
2025Q2,London,4,26,7,166.6,88.8,77,39.0,2025,2,18,11.399999999999999,52.30455684418583,-100.70000000000003,2.419461353255372,True
2025Q3,London,3,17,3,196.6,-32.5,92,30.4,2025,3,19,9.600000000000001,54.082221354773026,-133.20000000000005,-0.6915861068588659,False
2025Q4,London,3,35,10,201.2,22.5,76,32.9,2025,4,20,16.325,53.42960321769197,-110.70000000000005,0.7190289822283814,False
2021Q1,NY,9,28,3,45.8,-33.9,50,24.0,2021,1,1,,,-33.9,-0.757264209722801,False
2021Q2,NY,8,15,5,94.8,-52.6,57,22.8,2021,2,2,-43.25,13.222896808188441,-86.5,-1.2309501345201377,False
2021Q3,NY,8,27,3,15.8,-0.1,60,28.3,2021,3,3,-28.866666666666664,26.609459470897438,-86.6,0.09891676664885558,False
2021Q4,NY,11,43,5,45.2,15.3,48,31.2,2021,4,4,-17.825,30.979280710393088,-71.3,0.48901105765842695,False
2022Q1,NY,8,0,7,66.0,13.4,74,31.1,2022,1,5,-6.0,31.814147796224244,-57.9,0.4408825412351682,False
2022Q2,NY,8,19,10,103.2,-7.4,43,27.9,2022,2,6,5.300000000000001,10.894341038661613,-65.3,-0.08599805960892824,False
2022Q3,NY,8,45,3,97.2,-0.3,71,26.8,2022,3,7,5.250000000000001,10.927793311857,-65.6,0.09385060702535467,False
2022Q4,NY,8,53,7,43.3,-10.9,69,27.5,2022,4,8,-1.3000000000000003,10.746472289391836,-76.5,-0.17465585302019446,False
2023Q1,NY,10,6,3,66.0,30.7,33,36.4,2023,1,9,3.0249999999999995,18.969690737243624,-45.8,0.8791053486679983,False
2023Q2,NY,8,31,3,103.9,16.1,48,31.2,2023,2,10,8.9,18.29171032644751,-29.699999999999996,0.5092756961524306,False
2023Q3,NY,8,30,3,53.8,-81.2,71,19.7,2023,3,11,-11.325000000000001,49.66866047452189,-110.9,-1.9554109606807704,False
2023Q4,NY,11,4,3,58.6,-31.6,37,21.6,2023,4,12,-16.5,50.67774001801317,-142.5,-0.6990033740525404,False
2024Q1,NY,9,5,5,104.3,-56.2,72,25.0,2024,1,13,-38.225,41.49316208726445,-198.7,-1.3221410077431544,False
2024Q2,NY,10,15,7,104.2,13.9,55,32.7,2024,2,14,-38.775,40.53659868974373,-184.79999999999998,0.4535479402939205,False
2024Q3,NY,8,39,10,133.8,15.7,66,31.8,2024,3,15,-14.55,35.35482051055179,-169.1,0.49914337690542876,False
2024Q4,NY,9,0,10,127.2,29.3,76,35.5,2024,4,16,0.6749999999999989,38.53486516563064,-139.79999999999998,0.8436422313034918,False
2025Q1,NY,9,22,3,165.6,-66.9,80,27.5,2025,1,17,-2.0000000000000018,43.809435817717024,-206.7,-1.593180547600454,False
2025Q2,NY,10,7,5,170.7,6.8,60,30.0,2025,2,18,-3.7750000000000012,43.08838784019039,-199.89999999999998,0.27369927365963753,False
2025Q3,NY,8,20,3,169.6,75.4,82,41.5,2025,3,19,11.15,59.35264666943394,-124.49999999999997,2.0113920245204553,True
2025Q4,NY,8,23,10,258.4,44.4,81,34.6,2025,4,20,14.924999999999999,61.338806368127734,-80.09999999999997,1.2261372828778119,False
